CodCliente,RazonSocial,Telefono,Mail,Direccion,Localidad,Provincia,CP
1,ACME Corp 1,54964652357,user1@empresa.com,Calle Ficticia 900,Este,Buenos Aires,8525
2,Globex 2,54929884748,user2@empresa.com,Calle Ficticia 184,Sur,Córdoba,5785
3,Wayne Ent. 3,54941207975,user3@empresa.com,Calle Ficticia 37,Sur,Tucumán,7326
4,Dunder Mifflin 4,54942088590,user4@empresa.com,Calle Ficticia 765,Sur,Santa Fe,6037
5,Globex 5,54930962724,user5@empresa.com,Calle Ficticia 205,Oeste,Córdoba,2060
6,Wayne Ent. 6,54949376670,user6@empresa.com,Calle Ficticia 252,Centro,Tucumán,2514
7,Dunder Mifflin 7,54996926851,user7@empresa.com,Calle Ficticia 451,Sur,Buenos Aires,2147
8,Globex 8,54951669542,user8@empresa.com,Calle Ficticia 988,Norte,Tucumán,2730
9,Globex 9,54940288249,user9@empresa.com,Calle Ficticia 722,Oeste,Santa Fe,1425
10,Wayne Ent. 10,54943165864,user10@empresa.com,Calle Ficticia 338,Norte,Córdoba,2427
11,Wayne Ent. 11,54996261329,user11@empresa.com,Calle Ficticia 164,Centro,Mendoza,4574
12,Globex 12,54914041018,user12@empresa.com,Calle Ficticia 634,Sur,Córdoba,7737
13,Globex 13,54934181429,user13@empresa.com,Calle Ficticia 355,Centro,Tucumán,6768
14,ACME Corp 14,54992138486,user14@empresa.com,Calle Ficticia 747,Centro,Tucumán,2884
15,Globex 15,54975798163,user15@empresa.com,Calle Ficticia 426,Norte,Buenos Aires,1535
16,ACME Corp 16,54993488178,user16@empresa.com,Calle Ficticia 54,Norte,Buenos Aires,5641
17,Wayne Ent. 17,54948769940,user17@empresa.com,Calle Ficticia 426,Oeste,Tucumán,1944
18,Dunder Mifflin 18,54942578287,user18@empresa.com,Calle Ficticia 519,Norte,Mendoza,4586
19,Globex 19,54993850990,user19@empresa.com,Calle Ficticia 519,Norte,Mendoza,1642
20,Globex 20,54940751825,user20@empresa.com,Calle Ficticia 292,Norte,Mendoza,3213
21,ACME Corp 21,54962518405,user21@empresa.com,Calle Ficticia 53,Oeste,Mendoza,8397
22,ACME Corp 22,54993364962,user22@empresa.com,Calle Ficticia 488,Este,Mendoza,3961
23,ACME Corp 23,54994057083,user23@empresa.com,Calle Ficticia 431,Sur,Mendoza,1554
24,Globex 24,54975550190,user24@empresa.com,Calle Ficticia 969,Centro,Buenos Aires,6932
25,Dunder Mifflin 25,54914020965,user25@empresa.com,Calle Ficticia 131,Norte,Córdoba,5224
26,Dunder Mifflin 26,54927730470,user26@empresa.com,Calle Ficticia 996,Oeste,Córdoba,1979
27,Dunder Mifflin 27,54922034643,user27@empresa.com,Calle Ficticia 302,Norte,Buenos Aires,5571
28,ACME Corp 28,54962058835,user28@empresa.com,Calle Ficticia 614,Norte,Mendoza,7818
29,Globex 29,54924001885,user29@empresa.com,Calle Ficticia 434,Norte,Córdoba,1939
30,ACME Corp 30,54944432641,user30@empresa.com,Calle Ficticia 55,Sur,Tucumán,6884
31,Dunder Mifflin 31,54914373965,user31@empresa.com,Calle Ficticia 358,Centro,Mendoza,1226
32,Globex 32,54927716674,user32@empresa.com,Calle Ficticia 303,Norte,Córdoba,2544
33,Globex 33,54996825880,user33@empresa.com,Calle Ficticia 897,Este,Santa Fe,8292
34,Wayne Ent. 34,54981909899,user34@empresa.com,Calle Ficticia 196,Sur,Buenos Aires,2941
35,Dunder Mifflin 35,54980130070,user35@empresa.com,Calle Ficticia 12,Centro,Tucumán,4826
36,Globex 36,54952504115,user36@empresa.com,Calle Ficticia 583,Centro,Mendoza,1353
37,Dunder Mifflin 37,54920098494,user37@empresa.com,Calle Ficticia 439,Este,Buenos Aires,7173
38,Globex 38,54911779215,user38@empresa.com,Calle Ficticia 110,Norte,Mendoza,1498
39,Wayne Ent. 39,54949552048,user39@empresa.com,Calle Ficticia 878,Centro,Mendoza,8535
40,ACME Corp 40,54961412435,user40@empresa.com,Calle Ficticia 207,Este,Córdoba,7795
41,Dunder Mifflin 41,54993145840,user41@empresa.com,Calle Ficticia 11,Norte,Santa Fe,3421
