CodEntrega,CodVenta,CodProveedor,Proveedor,CodAlmacen,Almacen,CodEstado,Estado,Fecha_Envio,Fecha_Entrega
1,1,4,Logística Express,2,Hub Logístico,3,Entregado,2020-01-03,2020-01-05
2,2,3,QuickSend,3,Centro Oeste,3,Entregado,2020-01-03,2020-01-04
3,5,4,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-01-03,2020-01-04
4,6,1,Logística Express,1,Centro Norte,4,Devuelto,2020-01-04,2020-01-08
5,7,4,Flash Delivery,4,Depósito Sur,1,En preparación,2020-01-03,2020-01-06
6,8,3,Logística Express,3,Centro Oeste,2,En tránsito,2020-01-04,2020-01-05
7,9,3,QuickSend,1,Centro Norte,3,Entregado,2020-01-03,2020-01-04
8,11,4,QuickSend,3,Centro Oeste,1,En preparación,2020-01-03,2020-01-06
9,12,4,Logística Express,2,Hub Logístico,2,En tránsito,2020-01-04,2020-01-06
10,13,1,QuickSend,4,Depósito Sur,3,Entregado,2020-01-04,2020-01-06
11,14,4,QuickSend,4,Depósito Sur,4,Devuelto,2020-01-03,2020-01-05
12,15,2,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-01-02,2020-01-05
13,20,3,Flash Delivery,2,Hub Logístico,3,Entregado,2020-01-05,2020-01-08
14,22,1,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-01-05,2020-01-10
15,23,2,QuickSend,2,Hub Logístico,1,En preparación,2020-01-05,2020-01-10
16,24,4,QuickSend,2,Hub Logístico,4,Devuelto,2020-01-04,2020-01-07
17,25,1,QuickSend,1,Centro Norte,2,En tránsito,2020-01-04,2020-01-06
18,26,3,QuickSend,2,Hub Logístico,4,Devuelto,2020-01-05,2020-01-09
19,28,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-06,2020-01-07
20,30,2,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-06,2020-01-08
21,31,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-06,2020-01-08
22,33,1,QuickSend,2,Hub Logístico,4,Devuelto,2020-01-07,2020-01-09
23,34,4,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-07,2020-01-09
24,35,4,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-05,2020-01-08
25,37,4,QuickSend,1,Centro Norte,4,Devuelto,2020-01-06,2020-01-10
26,38,3,Flash Delivery,4,Depósito Sur,1,En preparación,2020-01-06,2020-01-10
27,39,2,Flash Delivery,3,Centro Oeste,1,En preparación,2020-01-06,2020-01-11
28,41,4,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-01-06,2020-01-07
29,42,4,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-06,2020-01-09
30,43,3,Flash Delivery,2,Hub Logístico,3,Entregado,2020-01-06,2020-01-10
31,46,3,QuickSend,4,Depósito Sur,4,Devuelto,2020-01-08,2020-01-13
32,48,1,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-01-06,2020-01-08
33,49,4,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-01-07,2020-01-11
34,50,3,QuickSend,2,Hub Logístico,3,Entregado,2020-01-06,2019-12-26
35,52,3,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-06,2020-01-10
36,54,3,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-01-08,2020-01-10
37,55,3,Logística Express,4,Depósito Sur,1,En preparación,2020-01-09,2020-01-12
38,56,1,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-01-08,2020-01-10
39,57,2,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-01-08,2020-01-12
40,58,3,QuickSend,2,Hub Logístico,2,En tránsito,2020-01-07,2020-01-11
41,59,1,Flash Delivery,4,Depósito Sur,1,En preparación,2020-01-09,2020-01-12
42,60,4,Envios Nacionales,3,Centro Oeste,4,Devuelto,2020-01-08,2020-01-12
