FechaVenta,CodigoProducto,Producto,Cantidad,PrecioVenta,CodigoCliente,Cliente,CodigoTienda,Tienda
2020-01-01,49,Producto Modelo 49,1,99.19,20,Globex 20,2,Tienda Sucursal 2
2020-01-01,8,Producto Modelo 8,3,1636.17,61,Wayne Ent. 61,10,Tienda Sucursal 10
2020-01-01,47,Producto Modelo 47,3,1071.38,96,Wayne Ent. 96,2,Tienda Sucursal 2
2020-01-01,13,Producto Modelo 13,2,-150.0,9,Globex 9,8,Tienda Outlet 8
2020-01-01,32,Producto Modelo 32,2,1770.83,88,Dunder Mifflin 88,8,Tienda Outlet 8
2020-01-01,7,Producto Modelo 7,2,890.75,1,ACME Corp 1,3,Tienda Online 3
2020-01-01,26,Producto Modelo 26,3,1269.87,33,Globex 33,6,Tienda Sucursal 6
2020-01-01,47,Producto Modelo 47,3,1071.38,8,Globex 8,7,Tienda Sucursal 7
2020-01-01,13,Producto Modelo 13,3,-150.0,89,ACME Corp 89,10,Tienda Sucursal 10
2020-01-01,47,Producto Modelo 47,2,1071.38,58,Dunder Mifflin 58,9,Tienda Outlet 9
2020-01-01,11,Producto Modelo 11,1,271.39,46,ACME Corp 46,3,Tienda Online 3
2020-01-01,47,Producto Modelo 47,1,1071.38,41,Dunder Mifflin 41,9,Tienda Outlet 9
2020-01-01,33,Producto Modelo 33,1,1312.75,90,Wayne Ent. 90,7,Tienda Sucursal 7
2020-01-01,37,Producto Modelo 37,3,1086.66,74,ACME Corp 74,9,Tienda Outlet 9
2020-01-01,42,Producto Modelo 42,3,425.72,20,Globex 20,5,Tienda Online 5
2020-01-02,31,Producto Modelo 31,2,1051.87,27,Dunder Mifflin 27,3,Tienda Online 3
2020-01-02,30,Producto Modelo 30,3,532.83,58,Dunder Mifflin 58,2,Tienda Sucursal 2
2020-01-02,5,Producto Modelo 5,2,624.92,16,ACME Corp 16,10,Tienda Sucursal 10
2020-01-02,35,Producto Modelo 35,3,1593.35,59,Dunder Mifflin 59,1,Tienda Online 1
2020-01-02,2,Producto Modelo 2,1,1242.79,18,Dunder Mifflin 18,8,Tienda Outlet 8
2020-01-02,21,Producto Modelo 21,1,881.45,90,Wayne Ent. 90,5,Tienda Online 5
2020-01-02,48,Producto Modelo 48,2,1675.08,57,ACME Corp 57,10,Tienda Sucursal 10
2020-01-02,20,Producto Modelo 20,2,534.57,5,Globex 5,2,Tienda Sucursal 2
2020-01-03,5,Producto Modelo 5,1,624.92,99,ACME Corp 99,5,Tienda Online 5
2020-01-03,11,Producto Modelo 11,2,271.39,95,Globex 95,2,Tienda Sucursal 2
2020-01-03,4,Producto Modelo 4,3,1183.86,34,Wayne Ent. 34,4,Tienda Sucursal 4
2020-01-03,43,Producto Modelo 43,1,852.46,93,Globex 93,10,Tienda Sucursal 10
2020-01-03,8,Producto Modelo 8,3,1636.17,95,Globex 95,10,Tienda Sucursal 10
2020-01-03,33,Producto Modelo 33,1,1312.75,70,Wayne Ent. 70,9,Tienda Outlet 9
2020-01-03,45,Producto Modelo 45,1,686.93,20,Globex 20,1,Tienda Online 1
2020-01-03,6,Producto Modelo 6,3,1040.57,49,Globex 49,8,Tienda Outlet 8
2020-01-03,11,Producto Modelo 11,3,271.39,58,Dunder Mifflin 58,8,Tienda Outlet 8
2020-01-04,38,Producto Modelo 38,2,466.61,93,Globex 93,2,Tienda Sucursal 2
2020-01-04,25,Producto Modelo 25,2,1093.94,58,Dunder Mifflin 58,3,Tienda Online 3
2020-01-04,17,Producto Modelo 17,2,296.83,48,Globex 48,5,Tienda Online 5
2020-01-04,44,Producto Modelo 44,1,331.77,85,Globex 85,7,Tienda Sucursal 7
2020-01-04,19,Producto Modelo 19,1,1195.73,75,Wayne Ent. 75,4,Tienda Sucursal 4
2020-01-04,41,Producto Modelo 41,1,541.4,37,Dunder Mifflin 37,4,Tienda Sucursal 4
2020-01-04,39,Producto Modelo 39,3,818.21,96,Wayne Ent. 96,9,Tienda Outlet 9
2020-01-05,3,Producto Modelo 3,1,1389.15,69,Globex 69,2,Tienda Sucursal 2
2020-01-05,3,Producto Modelo 3,3,1389.15,30,ACME Corp 30,5,Tienda Online 5
2020-01-05,13,Producto Modelo 13,2,-150.0,94,Dunder Mifflin 94,9,Tienda Outlet 9
2020-01-05,6,Producto Modelo 6,1,1040.57,59,Dunder Mifflin 59,5,Tienda Online 5
2020-01-05,10,Producto Modelo 10,3,700.71,50,Dunder Mifflin 50,6,Tienda Sucursal 6
2020-01-05,22,Producto Modelo 22,1,950.08,34,Wayne Ent. 34,9,Tienda Outlet 9
2020-01-05,39,Producto Modelo 39,3,818.21,45,Globex 45,8,Tienda Outlet 8
2020-01-05,45,Producto Modelo 45,2,686.93,100,Wayne Ent. 100,8,Tienda Outlet 8
2020-01-05,13,Producto Modelo 13,3,-150.0,1,ACME Corp 1,8,Tienda Outlet 8
2020-01-05,4,Producto Modelo 4,3,1183.86,96,Wayne Ent. 96,3,Tienda Online 3
2020-01-05,22,Producto Modelo 22,2,950.08,82,Wayne Ent. 82,2,Tienda Sucursal 2
2020-01-05,42,Producto Modelo 42,3,425.72,25,Dunder Mifflin 25,2,Tienda Sucursal 2
2020-01-05,22,Producto Modelo 22,1,950.08,90,Wayne Ent. 90,4,Tienda Sucursal 4
2020-01-05,14,Producto Modelo 14,3,978.72,43,Wayne Ent. 43,5,Tienda Online 5
2020-01-05,31,Producto Modelo 31,1,1051.87,41,Dunder Mifflin 41,7,Tienda Sucursal 7
2020-01-06,49,Producto Modelo 49,2,99.19,27,Dunder Mifflin 27,6,Tienda Sucursal 6
2020-01-06,39,Producto Modelo 39,1,818.21,35,Dunder Mifflin 35,2,Tienda Sucursal 2
2020-01-06,39,Producto Modelo 39,3,818.21,53,Wayne Ent. 53,2,Tienda Sucursal 2
2020-01-06,14,Producto Modelo 14,1,978.72,15,Globex 15,9,Tienda Outlet 9
2020-01-06,39,Producto Modelo 39,1,818.21,14,ACME Corp 14,8,Tienda Outlet 8
2020-01-06,20,Producto Modelo 20,1,534.57,47,Dunder Mifflin 47,5,Tienda Online 5
2020-01-06,24,Producto Modelo 24,2,1356.26,65,Dunder Mifflin 65,3,Tienda Online 3
2020-01-06,36,Producto Modelo 36,3,516.39,37,Dunder Mifflin 37,3,Tienda Online 3
2020-01-06,24,Producto Modelo 24,1,1356.26,20,Globex 20,4,Tienda Sucursal 4
2020-01-06,1,Producto Modelo 1,3,623.25,22,ACME Corp 22,7,Tienda Sucursal 7
2020-01-06,1,Producto Modelo 1,1,623.25,14,ACME Corp 14,7,Tienda Sucursal 7
2020-01-06,21,Producto Modelo 21,3,881.45,63,Dunder Mifflin 63,6,Tienda Sucursal 6
2020-01-06,35,Producto Modelo 35,3,1593.35,53,Wayne Ent. 53,5,Tienda Online 5
2020-01-07,27,Producto Modelo 27,2,182.09,98,Wayne Ent. 98,7,Tienda Sucursal 7
2020-01-07,27,Producto Modelo 27,1,182.09,78,Globex 78,5,Tienda Online 5
2020-01-07,46,Producto Modelo 46,3,1433.28,36,Globex 36,7,Tienda Sucursal 7
2020-01-07,19,Producto Modelo 19,1,1195.73,9,Globex 9,9,Tienda Outlet 9
2020-01-07,5,Producto Modelo 5,2,624.92,22,ACME Corp 22,10,Tienda Sucursal 10
2020-01-07,12,Producto Modelo 12,2,538.41,14,ACME Corp 14,5,Tienda Online 5
2020-01-07,35,Producto Modelo 35,1,1593.35,99,ACME Corp 99,7,Tienda Sucursal 7
2020-01-08,35,Producto Modelo 35,3,1593.35,59,Dunder Mifflin 59,5,Tienda Online 5
2020-01-08,2,Producto Modelo 2,3,1242.79,51,Wayne Ent. 51,7,Tienda Sucursal 7
2020-01-08,3,Producto Modelo 3,1,1389.15,82,Wayne Ent. 82,10,Tienda Sucursal 10
2020-01-08,26,Producto Modelo 26,3,1269.87,65,Dunder Mifflin 65,5,Tienda Online 5
