FechaVenta,CodigoProducto,Producto,Cantidad,PrecioVenta,CodigoCliente,Cliente,CodigoTienda,Tienda
2025-01-01,8,Producto Modelo 8,1,1636.17,19,Globex 19,5,Tienda Online 5
2025-01-01,35,Producto Modelo 35,2,1593.35,44,Globex 44,10,Tienda Sucursal 10
2025-01-01,20,Producto Modelo 20,2,534.57,11,Wayne Ent. 11,9,Tienda Outlet 9
2025-01-01,11,Producto Modelo 11,2,271.39,71,ACME Corp 71,8,Tienda Outlet 8
2025-01-01,5,Producto Modelo 5,2,624.92,86,Dunder Mifflin 86,5,Tienda Online 5
2025-01-02,12,Producto Modelo 12,1,538.41,31,Dunder Mifflin 31,6,Tienda Sucursal 6
2025-01-02,15,Producto Modelo 15,2,1526.58,41,Dunder Mifflin 41,4,Tienda Sucursal 4
2025-01-02,28,Producto Modelo 28,3,1082.48,24,Globex 24,1,Tienda Online 1
2025-01-02,2,Producto Modelo 2,3,1242.79,43,Wayne Ent. 43,5,Tienda Online 5
2025-01-02,20,Producto Modelo 20,2,534.57,41,Dunder Mifflin 41,9,Tienda Outlet 9
2025-01-02,24,Producto Modelo 24,1,1356.26,82,Wayne Ent. 82,2,Tienda Sucursal 2
2025-01-02,43,Producto Modelo 43,2,852.46,75,Wayne Ent. 75,6,Tienda Sucursal 6
2025-01-02,13,Producto Modelo 13,1,-150.0,79,Globex 79,5,Tienda Online 5
2025-01-02,28,Producto Modelo 28,2,1082.48,93,Globex 93,2,Tienda Sucursal 2
2025-01-03,10,Producto Modelo 10,1,700.71,67,ACME Corp 67,10,Tienda Sucursal 10
2025-01-03,14,Producto Modelo 14,2,978.72,41,Dunder Mifflin 41,8,Tienda Outlet 8
2025-01-03,6,Producto Modelo 6,2,1040.57,57,ACME Corp 57,10,Tienda Sucursal 10
2025-01-03,25,Producto Modelo 25,3,1093.94,75,Wayne Ent. 75,4,Tienda Sucursal 4
2025-01-03,36,Producto Modelo 36,3,516.39,67,ACME Corp 67,8,Tienda Outlet 8
2025-01-03,33,Producto Modelo 33,2,1312.75,34,Wayne Ent. 34,7,Tienda Sucursal 7
2025-01-03,21,Producto Modelo 21,2,881.45,77,Wayne Ent. 77,3,Tienda Online 3
2025-01-04,2,Producto Modelo 2,2,1242.79,46,ACME Corp 46,1,Tienda Online 1
2025-01-04,1,Producto Modelo 1,1,623.25,43,Wayne Ent. 43,5,Tienda Online 5
2025-01-04,9,Producto Modelo 9,2,638.62,62,ACME Corp 62,8,Tienda Outlet 8
2025-01-04,36,Producto Modelo 36,3,516.39,59,Dunder Mifflin 59,8,Tienda Outlet 8
2025-01-04,4,Producto Modelo 4,2,1183.86,93,Globex 93,9,Tienda Outlet 9
2025-01-04,6,Producto Modelo 6,2,1040.57,80,Globex 80,4,Tienda Sucursal 4
2025-01-04,33,Producto Modelo 33,2,1312.75,68,Wayne Ent. 68,2,Tienda Sucursal 2
2025-01-04,23,Producto Modelo 23,3,70.45,82,Wayne Ent. 82,2,Tienda Sucursal 2
2025-01-04,23,Producto Modelo 23,2,70.45,54,Wayne Ent. 54,6,Tienda Sucursal 6
2025-01-04,44,Producto Modelo 44,3,331.77,44,Globex 44,7,Tienda Sucursal 7
2025-01-04,22,Producto Modelo 22,2,950.08,57,ACME Corp 57,10,Tienda Sucursal 10
2025-01-04,33,Producto Modelo 33,3,1312.75,39,Wayne Ent. 39,4,Tienda Sucursal 4
2025-01-04,12,Producto Modelo 12,1,538.41,52,Globex 52,5,Tienda Online 5
2025-01-04,23,Producto Modelo 23,3,70.45,23,ACME Corp 23,10,Tienda Sucursal 10
2025-01-05,47,Producto Modelo 47,3,1071.38,27,Dunder Mifflin 27,5,Tienda Online 5
2025-01-05,29,Producto Modelo 29,3,496.38,37,Dunder Mifflin 37,10,Tienda Sucursal 10
2025-01-05,42,Producto Modelo 42,3,425.72,47,Dunder Mifflin 47,4,Tienda Sucursal 4
2025-01-05,37,Producto Modelo 37,2,1086.66,5,Globex 5,9,Tienda Outlet 9
2025-01-05,29,Producto Modelo 29,2,496.38,19,Globex 19,2,Tienda Sucursal 2
2025-01-05,7,Producto Modelo 7,1,890.75,85,Globex 85,1,Tienda Online 1
2025-01-05,46,Producto Modelo 46,1,1433.28,54,Wayne Ent. 54,8,Tienda Outlet 8
2025-01-05,9,Producto Modelo 9,1,638.62,12,Globex 12,3,Tienda Online 3
2025-01-05,31,Producto Modelo 31,3,1051.87,96,Wayne Ent. 96,6,Tienda Sucursal 6
2025-01-05,37,Producto Modelo 37,2,1086.66,17,Wayne Ent. 17,8,Tienda Outlet 8
2025-01-05,24,Producto Modelo 24,1,1356.26,96,Wayne Ent. 96,5,Tienda Online 5
2025-01-05,45,Producto Modelo 45,1,686.93,8,Globex 8,7,Tienda Sucursal 7
2025-01-05,6,Producto Modelo 6,2,1040.57,98,Wayne Ent. 98,6,Tienda Sucursal 6
2025-01-05,36,Producto Modelo 36,3,516.39,7,Dunder Mifflin 7,9,Tienda Outlet 9
2025-01-06,41,Producto Modelo 41,3,541.4,46,ACME Corp 46,3,Tienda Online 3
2025-01-06,15,Producto Modelo 15,3,1526.58,37,Dunder Mifflin 37,4,Tienda Sucursal 4
2025-01-06,5,Producto Modelo 5,3,624.92,34,Wayne Ent. 34,8,Tienda Outlet 8
2025-01-06,32,Producto Modelo 32,2,1770.83,16,ACME Corp 16,1,Tienda Online 1
2025-01-06,25,Producto Modelo 25,1,1093.94,98,Wayne Ent. 98,9,Tienda Outlet 9
2025-01-06,8,Producto Modelo 8,3,1636.17,29,Globex 29,1,Tienda Online 1
2025-01-06,32,Producto Modelo 32,1,1770.83,88,Dunder Mifflin 88,1,Tienda Online 1
2025-01-06,48,Producto Modelo 48,2,1675.08,19,Globex 19,6,Tienda Sucursal 6
2025-01-06,36,Producto Modelo 36,2,516.39,85,Globex 85,7,Tienda Sucursal 7
2025-01-06,8,Producto Modelo 8,2,1636.17,76,Globex 76,9,Tienda Outlet 9
2025-01-06,8,Producto Modelo 8,1,1636.17,83,Wayne Ent. 83,1,Tienda Online 1
